subject,Q2.2_1,Q2.2_2,Q2.2_3,Q2.3_1,Q2.3_2,Q2.3_3,Q2.4_1,Q2.4_2,Q2.4_3,Q2.5_1,Q2.5_2,Q2.5_3,Q2.6_1,Q2.6_2,Q2.6_3,Q2.7_1,Q2.7_2,Q2.7_3,Q2.8_1,Q2.8_2,Q2.8_3,Q2.9_1,Q2.9_2,Q2.9_3,Q2.10_1,Q2.10_2,Q2.10_3,Q2.11_1,Q2.11_2,Q2.11_3,Q2.12_1,Q2.12_2,Q2.12_3,Q2.13_1,Q2.13_2,Q2.13_3,Q2.14_1,Q2.14_2,Q2.14_3,Q2.15_1,Q2.15_2,Q2.15_3,Q2.16_1,Q2.16_2,Q2.16_3,Q2.17_1,Q2.17_2,Q2.17_3,Q2.18_1,Q2.18_2,Q2.18_3,Q2.19_1,Q2.19_2,Q2.19_3,Q2.20_1,Q2.20_2,Q2.20_3,Q2.21_1,Q2.21_2,Q2.21_3,Q3.1,Q3.2,Q3.3_1,Q3.3_2,Q3.3_3,Q3.4_1,Q3.4_2,Q3.4_3,Q3.5_1,Q3.5_2,Q3.5_3,Q3.6_1,Q3.6_2,Q3.6_3,Q3.7_1,Q3.7_2,Q3.7_3,Q3.8_1,Q3.8_2,Q3.8_3,Q3.9_1,Q3.9_2,Q3.9_3,Q3.10_1,Q3.10_2,Q3.10_3,Q3.11_1,Q3.11_2,Q3.11_3,Q3.12_1,Q3.12_2,Q3.12_3,Q3.13_1,Q3.13_2,Q3.13_3,Q3.14_1,Q3.14_2,Q3.14_3,Q3.15_1,Q3.15_2,Q3.15_3,Q3.16_1,Q3.16_2,Q3.16_3,Q3.17_1,Q3.17_2,Q3.17_3,Q3.18_1,Q3.18_2,Q3.18_3,Q3.19_1,Q3.19_2,Q3.19_3,Q3.20_1,Q3.20_2,Q3.20_3,Q3.21_1,Q3.21_2,Q3.21_3,Q3.22_1,Q3.22_2,Q3.22_3,id
82,2,3,3,3,3,3,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,5,5,5,5,5,5,3,3,3,4,4,4,6,6,6,6,6,6,6,6,6,1,BCS,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,6,6,6,6,6,6,5,5,5,44501
83,4,5,2,3,2,1,2,1,1,4,2,3,5,5,5,5,6,5,6,6,6,6,6,6,4,3,3,4,3,3,5,3,3,2,2,2,5,5,5,4,3,3,5,4,4,1,,,1,,,3,2,2,5,2,2,4,3,2,1,EVM,5,5,5,4,4,4,2,2,2,1,1,1,3,3,3,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,5,,,,1,1,1,2,2,2,4,4,4,5,5,5,44607
84,4,4,5,4,,4,5,5,3,4,4,5,6,6,5,6,5,6,6,6,6,6,6,6,6,5,6,5,3,4,5,5,6,5,5,6,6,6,6,6,5,6,5,5,5,3,3,3,4,4,4,5,4,4,6,4,4,6,5,6,1,SS,5,5,4,6,5,4,3,5,4,5,5,4,2,5,4,5,5,4,5,5,4,5,5,4,6,5,4,4,4,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,3,4,3,3,4,3,5,2,1,6,4,2,6,5,4,44995
85,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,6,6,6,6,6,6,5,5,5,1,KL,4,6,6,3,6,6,2,6,6,1,3,3,1,5,5,0,2,2,6,6,6,6,6,6,6,6,6,3,6,5,4,4,6,3,5,6,6,6,6,4,5,5,5,5,5,2,2,2,3,5,5,4,5,5,6,6,6,5,5,5,44484
86,3,5,4,1,0,0,5,4,3,2,2,2,5,5,4,5,4,3,6,6,6,6,6,6,5,2,1,4,2,1,5,4,3,5,5,4,6,6,4,6,5,5,5,5,5,4,4,2,4,3,3,5,5,4,5,5,5,5,5,2,1,MG,2,6,3,3,2,1,4,4,2,2,3,1,5,5,5,5,5,3,6,6,6,6,6,6,2,1,1,3,2,1,5,5,3,5,5,4,5,5,5,5,5,5,5,5,4,2,2,1,4,4,3,5,5,5,5,5,5,4,3,2,44513
87,5,5,4,3,2,2,4,4,2,3,2,1,4,4,3,6,5,5,6,5,6,5,5,4,5,4,3,4,2,1,5,5,4,5,3,3,5,5,5,4,4,3,5,4,5,2,1,1,3,3,3,5,5,6,6,5,6,5,3,3,1,SO,4,5,3,5,5,3,4,5,3,2,2,2,5,4,6,6,5,5,6,6,5,6,6,5,4,2,2,4,2,2,5,4,4,5,5,4,6,5,4,4,3,2,5,4,3,2,1,1,3,3,3,5,5,5,6,5,6,5,2,2,44580
88,6,6,6,4,3,3,6,6,5,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,5,4,1,T.E.,5,6,5,6,5,4,2,4,2,1,1,0,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,4,5,2,6,6,6,5,5,6,6,6,6,6,6,6,5,5,5,2,1,0,3,3,3,5,5,5,6,6,6,4,2,3,43784
89,3,3,2,4,,4,2,1,1,1,2,2,3,3,3,5,5,5,6,4,3,6,4,3,3,4,4,3,3,3,5,5,4,5,5,5,5,5,4,5,5,4,5,5,4,1,1,1,2,2,1,4,3,3,4,3,3,5,4,4,1,R. W.,4,5,1,2,1,1,1,1,1,1,5,4,4,4,4,5,6,5,6,3,5,6,4,5,5,5,5,5,5,5,4,4,3,5,5,4,5,5,4,5,5,4,5,5,5,1,1,1,2,2,2,3,3,3,3,3,3,5,4,4,44425
90,1,1,1,1,1,1,2,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,6,6,6,5,5,5,1,trm,1,1,1,1,1,1,2,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,1,1,1,3,3,3,3,3,3,6,6,6,1,1,1,1,1,1,3,3,3,3,3,3,6,6,6,6,6,6,1,1,1,43147
91,4,3,2,4,4,2,6,5,5,4,4,3,6,6,6,6,5,5,6,6,5,6,6,6,6,4,2,4,1,0,5,2,1,5,2,1,6,6,6,6,5,2,4,3,2,2,2,1,4,2,2,5,5,5,6,6,6,5,3,3,1,Jack ,3,4,3,5,6,3,4,4,1,4,5,1,6,6,4,5,5,2,6,6,6,6,6,5,4,6,6,3,3,2,6,6,2,5,4,3,6,6,6,6,6,6,6,6,4,3,3,3,4,4,3,6,5,5,6,6,6,2,5,5,44762
92,5,5,2,2,2,0,4,4,4,2,2,1,5,5,4,6,5,4,6,6,6,6,6,6,5,5,5,4,3,3,4,4,2,3,3,2,5,5,2,5,5,5,5,5,2,2,2,1,2,2,2,3,3,3,5,5,4,3,3,3,1,NS,3,3,3,1,,,3,3,2,1,1,2,3,3,2,4,5,4,6,6,6,6,6,5,2,2,2,1,1,1,3,2,2,4,4,4,5,5,5,3,3,3,3,3,3,1,,,2,1,1,3,3,3,4,4,4,3,3,3,44483
93,3,3,3,3,,3,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,3,3,2,5,5,5,6,6,6,6,6,6,4,4,4,1,CW,2,2,2,2,2,0,2,2,2,1,1,1,3,3,3,4,4,4,6,6,6,6,6,6,2,2,3,2,2,2,4,4,4,4,4,4,6,6,6,5,5,5,4,4,4,1,1,1,3,3,3,6,6,6,6,6,6,3,3,3,44063
94,3,4,5,2,3,2,4,3,5,4,4,4,6,5,6,6,5,6,6,6,6,6,3,5,6,6,4,4,4,4,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,3,4,4,4,4,4,6,6,5,6,5,6,5,5,5,1,MG,4,4,2,4,4,3,4,4,2,4,4,3,6,6,4,6,6,5,6,6,4,6,6,4,6,6,4,4,4,3,6,6,4,5,5,5,6,6,5,6,6,5,5,5,5,3,4,4,4,4,3,5,5,4,6,6,5,5,5,4,44245
95,3,2,1,3,2,2,3,3,2,2,2,2,5,5,4,5,5,4,6,5,6,6,6,6,6,6,6,3,2,2,5,5,5,5,5,5,6,6,6,5,5,5,4,4,4,3,3,3,5,4,5,6,6,6,6,6,6,5,4,4,1,,6,6,6,4,4,3,3,3,3,5,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,6,6,5,5,5,5,6,6,6,6,6,6,5,5,5,3,3,3,4,4,4,6,6,6,6,6,6,3,3,3,44184
96,6,4,3,5,,3,5,5,4,6,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,4,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,5,3,1,5,4,3,6,6,5,6,6,5,6,6,5,1,NM,6,6,6,6,6,5,5,6,5,5,4,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,6,5,6,6,6,6,6,6,6,6,5,4,4,1,5,5,3,6,6,5,6,6,5,6,5,5,44098
97,6,3,1,6,3,3,6,4,2,6,3,1,6,6,3,6,6,4,6,6,5,6,6,6,6,5,3,4,3,2,6,3,1,6,3,2,6,5,6,6,3,2,6,5,3,4,3,1,5,3,2,6,5,3,6,6,6,6,2,1,1,DG,6,6,4,6,6,4,6,6,4,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,4,6,6,4,6,6,5,6,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,44838
98,5,4,5,5,,4,5,5,4,6,5,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,3,4,4,4,6,6,6,6,6,6,5,4,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,1,GW,6,6,4,4,6,4,4,6,5,5,5,5,5,5,4,6,6,5,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,6,6,5,6,6,6,43289
99,4,0,0,2,0,0,,,,3,0,0,5,1,1,4,2,3,6,3,4,5,3,4,5,1,1,3,0,0,3,0,0,4,1,2,6,2,3,5,1,2,3,1,1,3,0,,3,1,1,4,1,2,6,3,5,1,0,,1,SN,1,0,0,0,0,0,1,0,,1,0,0,2,2,2,4,1,1,6,5,6,6,4,5,4,0,0,2,0,0,3,2,2,4,2,3,5,2,3,5,3,3,2,1,1,1,,,1,1,,3,2,2,6,5,6,1,,,44562
100,2,2,3,2,3,2,4,4,,3,2,3,5,6,5,3,3,4,3,3,3,6,6,6,3,4,3,6,6,6,4,6,4,3,2,3,5,5,5,2,2,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,4,3,4,1,CG,6,6,5,2,3,5,1,2,2,3,3,2,3,3,4,4,2,3,3,4,3,3,2,4,3,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,1,1,2,1,3,6,6,6,6,4,4,43824
101,4,3,2,3,2,2,4,3,1,3,1,1,6,3,2,6,5,6,6,6,6,6,5,3,6,3,3,2,1,0,6,5,6,4,2,1,6,4,6,6,6,5,6,5,6,2,2,3,5,3,5,6,6,6,6,6,6,4,2,3,1,ML,3,4,3,2,3,2,4,3,2,4,2,3,6,5,5,6,5,5,6,6,6,6,5,4,6,4,4,3,1,1,5,5,4,5,5,5,6,6,6,6,5,5,6,6,4,3,4,4,4,4,5,6,5,6,6,6,6,5,4,5,43701
102,4,4,3,3,,2,2,2,2,1,1,0,3,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,2,1,john doe,1,1,1,2,1,2,1,2,1,2,2,2,3,2,1,2,1,2,2,1,3,2,1,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,1,2,2,4,1,2,1,1,1,44038
103,4,3,3,3,3,3,4,4,3,4,4,5,3,3,2,4,4,4,5,4,4,5,3,3,3,3,3,2,2,3,2,2,1,3,3,2,3,3,3,3,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,MS ,4,4,4,3,3,4,5,4,4,3,3,3,5,5,5,5,5,5,5,4,4,5,4,4,3,3,4,3,3,3,3,3,3,4,4,3,4,5,5,4,4,5,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,3,44578
104,1,1,2,2,2,2,3,2,1,2,2,1,3,3,3,4,3,2,6,4,4,6,4,4,5,4,3,4,2,2,3,2,1,2,2,2,5,5,4,5,4,4,2,2,2,1,1,1,2,2,2,3,3,3,3,4,3,4,3,3,1,BW,2,2,2,3,4,2,1,0,0,3,1,2,4,3,1,5,4,5,6,4,5,6,5,4,3,5,5,3,3,4,4,3,4,4,5,4,5,4,5,4,5,4,4,5,3,2,1,3,3,3,5,4,5,6,5,6,6,3,4,4,44594
105,3,3,3,5,4,2,5,3,1,4,2,3,5,3,0,6,6,4,6,6,4,6,6,5,6,6,3,3,2,0,4,3,0,6,4,6,6,6,6,6,6,6,6,6,6,3,,0,3,1,0,4,3,2,6,3,2,6,6,5,1,MN,4,4,4,5,4,5,5,4,2,3,4,3,5,3,5,6,6,6,6,6,6,6,6,3,6,6,6,3,3,1,4,5,2,6,2,4,6,6,6,6,6,6,6,6,6,2,0,,3,2,2,4,2,4,6,3,5,6,4,4,44507
106,4,4,1,3,2,,4,4,,4,4,,5,5,,5,5,1,6,6,3,5,5,,4,4,,3,3,,4,4,,4,4,2,5,5,,5,5,,4,4,,3,3,,3,3,,4,4,1,4,4,2,4,4,3,1,MR,3,3,,2,2,,2,2,,2,2,,3,3,1,4,4,,6,6,2,4,4,,3,3,,3,3,,3,3,1,4,4,2,4,4,,4,4,,4,4,,2,2,,2,2,1,4,4,3,4,4,4,4,4,3,43837
107,4,4,4,5,5,5,4,4,4,4,4,4,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,2,0,0,4,3,4,5,4,5,6,6,6,5,5,4,5,5,5,2,0,2,4,4,4,6,5,5,6,5,5,4,3,3,1,BG,3,1,2,3,3,3,4,4,4,2,2,2,5,6,4,6,6,6,6,6,6,6,6,6,4,3,3,1,0,0,4,4,4,4,4,4,6,6,6,5,5,4,5,5,5,1,0,0,4,4,4,5,5,5,6,6,6,4,5,4,41965
108,5,2,0,2,5,1,6,6,1,4,6,1,6,5,2,6,5,1,6,6,3,6,5,3,6,6,6,6,6,5,4,2,1,4,2,3,6,6,3,6,6,1,4,5,3,1,6,2,4,5,4,6,5,4,6,0,6,6,6,1,1,AT,4,6,4,6,6,0,3,3,0,6,6,0,1,6,5,4,4,3,5,6,4,5,5,4,6,6,3,6,6,6,6,6,2,6,6,1,6,5,4,6,6,6,6,6,1,6,6,1,6,6,1,3,3,1,1,1,5,4,4,1,43889
109,5,4,4,4,2,2,5,3,2,4,2,1,6,4,3,6,4,2,6,6,6,6,6,6,4,3,2,4,3,2,5,4,3,5,4,3,6,5,4,5,5,4,4,4,2,4,3,3,5,4,4,5,5,5,6,6,6,4,3,2,1,LW,5,5,2,4,4,2,6,4,4,6,4,3,6,6,6,6,6,4,6,6,6,6,6,6,6,4,3,5,2,1,5,4,3,5,5,3,6,6,4,5,5,5,5,4,4,3,2,2,4,3,3,5,5,4,6,5,5,5,4,4,44739
110,4,3,4,4,3,3,6,5,6,4,4,4,6,6,6,6,6,6,6,6,5,6,5,5,5,5,4,6,5,5,5,4,5,5,4,4,6,6,5,5,5,5,5,5,4,3,3,3,4,4,5,5,5,6,6,5,6,3,4,5,1,SM,3,4,3,4,4,2,3,2,2,3,3,2,4,5,4,5,6,5,6,6,5,6,6,6,5,5,4,5,5,3,5,6,4,5,5,5,5,5,4,5,5,5,6,6,4,4,4,4,5,5,5,5,5,6,6,6,6,4,4,3,44770
111,3,3,1,3,3,1,5,2,1,2,2,1,4,3,3,5,3,3,6,3,4,6,3,4,5,2,1,3,1,1,4,2,3,4,2,1,4,3,3,2,2,1,3,2,2,2,2,2,3,3,3,5,3,6,5,4,6,5,1,2,1,EC,4,5,2,4,4,3,3,2,1,3,2,1,5,4,4,6,3,3,6,5,4,6,4,4,4,2,1,3,2,1,4,3,2,5,4,3,6,3,4,5,4,4,4,3,4,3,3,2,4,5,5,5,5,6,5,5,6,5,3,3,44409
112,3,4,6,2,1,1,4,4,5,3,4,3,6,5,6,6,5,6,6,6,6,6,6,6,5,4,4,3,2,2,3,2,3,3,3,3,4,3,3,3,3,2,3,3,4,3,3,4,3,3,4,4,4,5,5,4,6,5,5,4,1,SG,4,5,3,3,4,1,4,5,3,3,3,1,5,6,5,4,5,3,6,6,6,6,6,6,5,4,3,4,3,3,5,5,4,5,5,3,5,6,3,5,6,4,4,5,3,3,4,2,4,4,2,5,6,4,6,6,4,5,5,3,43728
113,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,5,5,5,6,6,6,5,5,5,5,5,5,3,3,3,4,4,4,5,5,5,6,6,6,5,5,5,1,KL,4,6,5,3,4,3,3,4,4,3,4,4,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,3,3,3,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,2,4,4,4,4,4,5,5,5,6,6,6,5,5,5,44605
114,4,2,,2,0,,5,,1,1,,1,5,3,,6,2,,6,6,6,6,6,6,6,2,1,4,,,3,2,,3,,,6,5,5,6,6,6,5,4,6,3,1,,3,2,,6,5,6,6,6,6,3,,,1,Carolina,5,5,0,6,4,,5,6,2,3,2,,6,6,1,6,6,5,6,6,6,6,6,6,6,4,,3,1,,5,4,3,4,4,4,6,6,6,6,2,,5,5,4,1,,,3,,,5,5,6,6,6,6,2,1,,44769
115,2,2,1,3,2,1,3,1,2,2,1,1,4,2,2,5,3,2,6,6,5,6,5,3,5,1,1,3,1,0,4,1,1,3,1,1,5,3,3,4,2,1,2,1,0,2,1,0,3,2,1,5,2,3,6,3,5,4,2,0,1,L.R.,3,3,3,4,4,2,4,3,2,3,3,1,4,4,3,5,6,4,6,6,4,6,6,5,4,2,0,2,0,0,3,2,2,3,2,2,5,6,4,4,3,0,4,2,0,2,1,0,3,3,2,5,5,4,6,6,5,3,2,0,44516
116,5,4,1,5,1,1,5,2,2,5,2,2,6,3,2,6,4,2,6,3,3,6,4,4,6,3,3,5,2,2,6,2,2,4,2,2,6,3,2,6,2,2,5,3,2,5,2,2,6,2,1,6,4,3,6,2,3,6,3,2,1,NSC,5,6,6,5,5,5,6,5,4,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,5,5,5,6,5,6,6,5,5,6,5,5,6,5,5,44515
117,5,5,5,4,1,0,6,5,5,6,5,6,5,5,5,6,5,5,6,5,6,6,6,6,5,5,6,5,4,0,5,5,4,5,4,4,6,5,5,6,5,5,5,4,2,5,5,5,5,5,5,6,6,6,6,6,6,5,5,4,1,CP,5,6,6,5,4,1,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,6,5,4,5,5,4,6,5,6,6,6,6,6,5,5,5,5,5,5,5,5,6,6,5,6,6,5,6,5,5,44577
118,3,5,4,4,3,2,5,2,1,2,4,2,6,5,5,6,3,1,6,4,2,6,3,2,6,3,1,3,1,1,2,2,3,5,3,5,6,3,2,6,6,6,6,6,5,2,1,1,4,2,3,5,3,5,6,5,5,3,2,1,1,EL,5,5,2,3,5,1,3,5,1,4,4,2,6,5,3,6,6,2,6,6,5,6,6,5,3,2,1,2,1,1,4,4,2,3,2,3,6,5,2,6,6,5,5,4,2,1,1,1,2,2,1,5,5,2,6,5,5,2,2,1,43932
119,2,3,3,3,3,3,5,5,4,5,5,4,6,6,5,6,6,5,6,6,6,6,6,6,6,6,5,5,5,4,6,6,5,6,6,5,6,6,6,6,6,5,6,6,6,4,4,2,4,4,2,5,5,4,6,6,6,5,5,4,1,SO,4,4,4,5,5,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,4,4,4,5,5,5,6,6,6,6,6,6,5,5,5,44608
